company,job_title,job_id,job_type,salary_range,salary_freq,level,industry,job_description,requirements
NEC ASIA PACIFIC PTE. LTD.,Business Analyst, JOB-2019-0005511 ,"Permanent, Contract","$3,000to$4,500",Monthly,Senior Executive,Information Technology,"Roles & ResponsibilitiesThis role is involved in the end-to-end support of application systems; from requirement analysis, design, development, to system maintenance and support.  Liaise with end users to analyse and translate business requirements to functional specifications Assist in the collection and consolidation of required information and data Prepare configuration, test specifications and conduct testing to ensure system conforms to system specifications Maintain requirement, design, test specifications, user manuals and other system documentation Provide training and support to diagnose and resolve system issues ","Requirements Bachelor's degree with at least 1 to 3 years of experience in the software industry Highly developed inter-personal skills and a high degree of self-motivation and innovation, together with a high standard of personal and professional integrity Ability to work under pressure High standard of personal and professional integrity Ability to work as a team member with a capacity to work in harmony with professional personnel Preferably with hands-on implementation capability, pre-sales support in proposal writing, good writing skill Good judgment, prompt decision-making ability, responsibility and accountability. Commitment to providing a high level of service Commitment to teamwork as both a contributor and a team player "
THE CHINA NAVIGATION COMPANY PTE. LTD.,Business System Analyst, JOB-2019-0070634 ,"Permanent, Full Time","$4,000to$6,200",Monthly,Professional,Information Technology,"Roles & ResponsibilitiesRole Purpose Responsible for the cross-functional analysis of the business requirements for improving processes and systems, applications support, and implementation of business systems and enhancements in line with business direction and needs. Role Accountabilities Strategic & Planning  Provide consultancy and expertise advice on matters of Application’s architecture and integration with other systems, including their feasibility. Responsible for partnering with business representatives to understand business processes and underlying informational and/or process automation needs, then translating those needs into formal, documented business requirements following methodologies and processes. Perform cross functional analysis of the company’s operations, business and functional requirements and recommend or provide application solutions. Performs investigational analysis and evaluation to determine application feasibility. Developing project feasibility reports and discussing them with business users with regards to future implementation.  IT Operations Management  Applications operational support including issues analysis and resolution relating to supported applications and interfaces. Documenting the specifications, design, features and operation of applications to a Functional /Technical specification which is used by the applications development team for translation into actual program code. Testing and debugging application systems and perform quality control checks before releasing the system for UAT. Data migration analysis to new applications as needed. Perform research, plans and propose a solution, recommend software or hardware components to ensure that the company’s business/ operational requirements are met. Coordinate and link-up various systems within the organisation to increase compatibility and improve information access and sharing. Work with 3rd party vendors for applications support and/or changes. Involve in monthly applications server windows patch testing.  Risk Management  Plan and conduct routine audits of systems and software. Prepare and maintain documentation, including procedures, system specifications, technical documentation and user manuals Manage all applications change requests and/or enhancements to ensure timely and accurate dispositions. Ensure that IT Request procedures are established and enforced. Providing IT support for regulatory and compliance activities.  Project Management  Support the analysis of business initiatives; provide input to the development of business cases and project measurement objectives. Support the development of cost and benefit estimates to establish project worth, including the development of alternatives and recommendations for new acquisitions or changes to existing applications or equipment. Prepare feasibility studies; recommends and establishes program objectives, priorities and schedules in conjunction with user and functional requirements and conducts end-user training, as needed, for assigned applications. Works with business stakeholders and/or vendor for project acceptance tests. Managing overall coordinate of IT applications development projects from planning through implementation. Including on setting up project scope, priorities and deliverable schedules in line with the business users. Facilitating discussions and consensus among various project stakeholders.  Safety  Take responsibility for the safety of myself and those around me by displaying safety leadership principles (i.e. Safety I’s & Accountability ladder). Challenging and stopping unsafe acts and behaviours or unsafe conditions. Comply with the Global Safety Standards, Polices and Operating Procedures. ","RequirementsQualifications  University Bachelor Degree in Information Systems, Computer Science or related field  Technical Skills  6+ years’ experience in general infrastructure and applications administration/support 2+ years’ of solid technical skills (SQL querying, scripting, database related tasks) Strong analytical, problem solving skills and attention to detail with keen appreciation of business needs and strong interest in business processes and process re-engineering. Sound knowledge in shipping processes. Full project life­cycle experiences in business analyst role 4+ years’ Project management  Professional Skills  Good understanding of networking infrastructure and general application architecture Strong debugging and analytical skills Able to work as part of an international team with people in different time zones and cultures Able to develop and maintain good working relationship with all levels of users and vendors Able to communicate complex information clearly and concisely Able to collaborate with business personnel to manage problem resolution effectively A team player who is self-motivated and possesses good interpersonal, collaboration and organizational skills. Results driven and has a positive attitude Resourceful, meticulous, detail-oriented, accountable and discreet with sensitive / confidential information Work cross-functionally and think both critically and strategically Proficient in, or can quickly grasp applicable business processes and functions. Experience in Shipping industry "
KELLY SERVICES (SINGAPORE) PTE. LTD.,Java Full Stack Developer - Senior, JOB-2019-0070248 ,Contract,"$9,000to$13,500",Monthly,Professional,Information Technology,Roles & ResponsibilitiesMain responsibilities     Deliver fully tested source code complying with quality indicators objectives  Address technical aspects with architect and functional aspects with business analyst and user representatives  Liaise with business analysts for clarification and understanding of requirements.  Analyze technical constraints considering functional impacts with technical lead’s help  Organize and keep up to date detailed technical documentation  Provide macro or detailed estimation for development of solutions  Develop tests strategy in coordination with project manager / Business Analysts  Follow the user acceptance test and coordinate the prioritization with project manager  Support applications in production - analyze and resolve issues as they arise  Perform design and code review for other team members  Mentor junior and intermediate team members ,"RequirementsMandatory:     4+ years of experience in web and stand-alone application design & development with Java - J2EE technologies in Unix/Linux environment.    4+ years of experience in SQL / Oracle database design & development    Experience with Spring Framework, Spring batch, Spring Boot  Experience with RabbitMQ, Message Brokers and JMS  Experience with ELK, Spark or Scala  Experience with Tomcat/Jetty or other java based application servers  Good understanding of Hibernate/JPA framework.    Experience with consuming and developing REST / SOAP Web services  Good experience with web / mobile application development using Angular, React/Vue,  HTML, Bootstrap, SASS and JQuery    Strong knowledge & experience on Git.    Test driven mindset with strong skills in Junit, Mockito and other Unit testing frameworks  Good understanding of Container technologies like Docker, Kubernetis    Technical (Nice to have)   Practical knowledge on Jenkins, Nexus, Maven/Gradle or other CI/CD tools  Experience with UI testing tools like Jasmine, Protractar  Familiarity with tools like Grunt/Bower/Gulp etc  Experience with Apache or Nginx    Other Professional Skills and Mind-set   Ability and willingness to learn and adopt new technologies  Strong organizational and communication skills  Strong analytical and problem solving skills  Awareness of various software development procedures  Ability to follow defined procedures  Understanding and respect of cultural diversity "
KELLY SERVICES (SINGAPORE) PTE. LTD.,Java Full Stack Developer - Senior, JOB-2019-0070245 ,Contract,"$6,000to$9,000",Monthly,Professional,Information Technology,Roles & ResponsibilitiesMain responsibilities     Deliver fully tested source code complying with quality indicators objectives  Address technical aspects with architect and functional aspects with business analyst and user representatives  Liaise with business analysts for clarification and understanding of requirements.  Analyze technical constraints considering functional impacts with technical lead’s help  Organize and keep up to date detailed technical documentation  Provide macro or detailed estimation for development of solutions  Develop tests strategy in coordination with project manager / Business Analysts  Follow the user acceptance test and coordinate the prioritization with project manager  Support applications in production - analyze and resolve issues as they arise  Perform design and code review for other team members  Mentor junior and intermediate team members ,"RequirementsMandatory:     4+ years of experience in web and stand-alone application design & development with Java - J2EE technologies in Unix/Linux environment.    4+ years of experience in SQL / Oracle database design & development    Experience with Spring Framework, Spring batch, Spring Boot  Experience with RabbitMQ, Message Brokers and JMS  Experience with ELK, Spark or Scala  Experience with Tomcat/Jetty or other java based application servers  Good understanding of Hibernate/JPA framework.    Experience with consuming and developing REST / SOAP Web services  Good experience with web / mobile application development using Angular, React/Vue,  HTML, Bootstrap, SASS and JQuery    Strong knowledge & experience on Git.    Test driven mindset with strong skills in Junit, Mockito and other Unit testing frameworks  Good understanding of Container technologies like Docker, Kubernetis    Technical (Nice to have)   Practical knowledge on Jenkins, Nexus, Maven/Gradle or other CI/CD tools  Experience with UI testing tools like Jasmine, Protractar  Familiarity with tools like Grunt/Bower/Gulp etc  Experience with Apache or Nginx    Other Professional Skills and Mind-set   Ability and willingness to learn and adopt new technologies  Strong organizational and communication skills  Strong analytical and problem solving skills  Awareness of various software development procedures  Ability to follow defined procedures  Understanding and respect of cultural diversity "
KELLY SERVICES (SINGAPORE) PTE. LTD.,Java Full Stack Developer - Senior, JOB-2019-0070243 ,Full Time,"$4,000to$6,000",Monthly,Professional,Information Technology,Roles & ResponsibilitiesMain responsibilities     Deliver fully tested source code complying with quality indicators objectives  Address technical aspects with architect and functional aspects with business analyst and user representatives  Liaise with business analysts for clarification and understanding of requirements.  Analyze technical constraints considering functional impacts with technical lead’s help  Organize and keep up to date detailed technical documentation  Provide macro or detailed estimation for development of solutions  Develop tests strategy in coordination with project manager / Business Analysts  Follow the user acceptance test and coordinate the prioritization with project manager  Support applications in production - analyze and resolve issues as they arise  Perform design and code review for other team members  Mentor junior and intermediate team members ,"RequirementsMandatory:     4+ years of experience in web and stand-alone application design & development with Java - J2EE technologies in Unix/Linux environment.    4+ years of experience in SQL / Oracle database design & development    Experience with Spring Framework, Spring batch, Spring Boot  Experience with RabbitMQ, Message Brokers and JMS  Experience with ELK, Spark or Scala  Experience with Tomcat/Jetty or other java based application servers  Good understanding of Hibernate/JPA framework.    Experience with consuming and developing REST / SOAP Web services  Good experience with web / mobile application development using Angular, React/Vue,  HTML, Bootstrap, SASS and JQuery    Strong knowledge & experience on Git.    Test driven mindset with strong skills in Junit, Mockito and other Unit testing frameworks  Good understanding of Container technologies like Docker, Kubernetis    Technical (Nice to have)   Practical knowledge on Jenkins, Nexus, Maven/Gradle or other CI/CD tools  Experience with UI testing tools like Jasmine, Protractar  Familiarity with tools like Grunt/Bower/Gulp etc  Experience with Apache or Nginx    Other Professional Skills and Mind-set   Ability and willingness to learn and adopt new technologies  Strong organizational and communication skills  Strong analytical and problem solving skills  Awareness of various software development procedures  Ability to follow defined procedures  Understanding and respect of cultural diversity "
KELLY SERVICES (SINGAPORE) PTE. LTD.,Java Full Stack Developer - Senior, JOB-2019-0070241 ,Full Time,"$4,000to$6,000",Monthly,Professional,Information Technology,Roles & ResponsibilitiesMain responsibilities     Deliver fully tested source code complying with quality indicators objectives  Address technical aspects with architect and functional aspects with business analyst and user representatives  Liaise with business analysts for clarification and understanding of requirements.  Analyze technical constraints considering functional impacts with technical lead’s help  Organize and keep up to date detailed technical documentation  Provide macro or detailed estimation for development of solutions  Develop tests strategy in coordination with project manager / Business Analysts  Follow the user acceptance test and coordinate the prioritization with project manager  Support applications in production - analyze and resolve issues as they arise  Perform design and code review for other team members  Mentor junior and intermediate team members ,"RequirementsMandatory:     5+ years of experience in web and stand-alone application design & development with Java - J2EE technologies in Unix/Linux environment.    5+ years of experience in SQL / Oracle database design & development    Experience with Spring Framework, Spring batch, Spring Boot  Experience with RabbitMQ, Message Brokers and JMS  Experience with ELK, Spark or Scala  Experience with Tomcat/Jetty or other java based application servers  Good understanding of Hibernate/JPA framework.    Experience with consuming and developing REST / SOAP Web services  Good experience with web / mobile application development using Angular, React/Vue,  HTML, Bootstrap, SASS and JQuery    Strong knowledge & experience on Git.    Test driven mindset with strong skills in Junit, Mockito and other Unit testing frameworks  Good understanding of Container technologies like Docker, Kubernetis    Technical (Nice to have)   Practical knowledge on Jenkins, Nexus, Maven/Gradle or other CI/CD tools  Experience with UI testing tools like Jasmine, Protractar  Familiarity with tools like Grunt/Bower/Gulp etc  Experience with Apache or Nginx    Other Professional Skills and Mind-set   Ability and willingness to learn and adopt new technologies  Strong organizational and communication skills  Strong analytical and problem solving skills  Awareness of various software development procedures  Ability to follow defined procedures  Understanding and respect of cultural diversity "
ARYAN SOLUTIONS PTE. LTD.,ETL Developer, JOB-2019-0070141 ,"Permanent, Full Time","$4,000to$4,500",Monthly,"Middle Management, Professional","Consulting , Information Technology","Roles & ResponsibilitiesWe are looking for a ETL Developer for a permanent and stable opportunity with Aryan Solutions, Singapore. Aryan Solutions is looking to build a specialist team in Singapore . Job Responsibilities :  The Assoc Business Analyst assists with modifying, enhancing or adapting existing or proposed systems within an organization with the purpose of improving business efficiency and productivity He/She examines and documents technical requirements for new solutions to be created, analyses user needs and participates in the integration of new features or improvements. He/She involves in systems development process, contributes to defining technical product specifications and configures and tests products and solutions. Develops documentation and guides for the use of systems. Has a thirst for knowledge and is eager to learn and solve problems within the area of systems analysis. An active team player who forms relationships and communicates with others effectively to support the delivery of optimal solutions as a team. ","RequirementsJob Requirement   Successful track record in enterprise application support, user and vendor liaison and as a project lead for small to mid-scale projects. Experience in Unix/Linux environment, Oracle Database SQL Queries, Java, XML, web service, and ETL. Proficient in MS Office Strong analytical skills and ability to work independently  Interested, please send over your resume to recruitment@aryansearch.com or call us +65 67087429 Ext 210 for a confidential discussion. EA Registration No.R1110177 License No. 13C6405 For all other jobs, please visit our website https://aryansolutions.tech/jobs"
CREDIT SUISSE AG,APAC Division FTB Business Analyst, JOB-2019-0069835 ,"Permanent, Full Time","$6,000to$11,500",Monthly,Senior Executive,Banking and Finance,"Roles & ResponsibilitiesAPAC Division FTB BA #113615 Credit Suisse Company Overview Credit Suisse is a leading global wealth manager with strong investment banking and asset management capabilities. Founded in 1856, Credit Suisse has expanded to be a global force employing over 45,000 people in 50 countries. With new leadership, a new strategy and a streamlined global organization, we are set for growth. We partner across businesses, divisions and regions to create innovative solutions to meet the needs of our clients—and to help our employees grow. It is a high priority for us to continually invest in our employees by providing ongoing opportunities for training, networking and mobility. Join us and let's shape the future of Credit Suisse together.   Further information can be found at www.credit-suisse.com  We Offer…      Finance Change works across the entire CFO division to ensure that we execute the strategic design and implementation of any major changes to our processes and systems. In partnership with our key partners, we work to build ground breaking business solutions using our deep functional expertise. We aim to deliver strategic initiatives using leading project management and business analysis as we pursue our goal of protecting and improving shareholder value through optimizing the use of our financial resources.   Perform business analysis on Liquidity reporting requirements (Regulatory or Internal business driven) and impacts of changes.   Develop business and functional requirements and obtain timely sign-off by all respective parties.   Handle and actively participate in and contribute to all phases of the project lifecycle.   Work closely with the Users, line management, and IT groups throughout the various phases of the project.   Apply project management methodologies including project plans, risk mitigation, issue tracking and communication plans.   Prepare and maintain all project related status reports, chair project meetings, engage other departments and groups, as necessary, and manage all issues and risks through to resolution.   Establish strong working relationships and build partnerships with the Line and IT partners.   Participate in test planning, preparation and facilitate user testing.   Document and assist in training of end users with automated Regulatory filing.   Work closely with the Group Finance teams and related CFO Change teams, and be involved in the execution of various initiatives planned as part of the Book of Work.  ","RequirementsYou Offer…   You have work experience of 6 to 10 years in either the financial services industry or consulting industry.   You have demonstrated capability of executing change in a Financial Services organisation.   Your experience of working in change for Financial Accounting, Regulatory Reporting or Risk Reporting systems and processes is preferred.   You have driven change management and/or process re-engineering efforts.   You have proven business analysis skills, including business and functional specification development.   You have strong attention to detail.   Experience in Liquidity reporting will be an advantage.   Experience in Axiom tool will be an advantage.   Experience in projects driving efficiency and innovation.   Experience with MS Project, PowerPoint, Visio and Excel.   Good management, planning and organizational skills.   You have deep knowledge of Investment Banking business processes – front to back involvement in managing change.   Experience in dealing with senior management.   You have strong Project management experience.   You have strong analytical skills.   EEO statement                                                         Credit Suisse is an equal opportunity employer. Welcoming diversity gives us a competitive advantage in the global marketplace and drives our success.  "
Company Undisclosed,"Assistant Vice President, SAP Functional Business Analyst Human Resources Information Systems (HRIS)", JOB-2019-0070676 ,Permanent,"$7,000to$9,000",Monthly,Middle Management,Banking and Finance,"Roles & ResponsibilitiesYou will be a member of the HRIS team responsible to support the implementation of SAP Human Resources Management System (HRMS), Success Factor HR modules, quarterly change requests and HR Datamart. Working with internal users and cross-functional teams, you will develop and translate business needs into functional requirements.  On a daily basis, you will be expected to be able to trouble-shoot on the SAP and SF issues reported globally. As a functional business analyst of the project team, you will also be responsible for gathering requirements, design/review solutions, stakeholders communication, training, building test plans and executing test cycles. You will partner with internal IT and/or the outsourced systems integrator throughout all project phases, and continue to support and maintain the HRMS after implementation.","Requirements Bachelor's degree in Computer Science or related field. Minimum of 6-10 years’ experience in HRMS implementation or SAP/SF system support. Technical expertise in Success Factor HR modules (recruitment, onboarding, LMS, JAM) and/or SAP HCM, specifically in the modules of Organization Management and Personnel Administration is a must. Additionally, expertise in the Time, Learning, Payroll and/or Recruitment, Performance Management, Succession Planning modules will be an advantage. Proven ability to elicit user requirements, define project scope and develop process documentation. Experience in (a) working closely with multi-disciplinary teams, including external consultants and vendors; and (b) developing user requirements, specifications, and guidelines. Hands-on problem-solver and multi-tasker with sound analytical and decision making skills. Strong team player with the interpersonal skills to influence and interact well with stakeholders; an effective communicator with the users and project teams to ensure project success. Ability to operate under tight schedules to meet deadlines. Contract or permanent position to be offered (Depends on experience and qualification). "
INVICTA PTE. LTD.,Business Analyst, JOB-2019-0040401 ,"Permanent, Contract",Salary undisclosed,,Non-executive,"Consulting , Banking and Finance, Information Technology, Logistics / Supply Chain","Roles & ResponsibilitiesAre you keen to pursue a career in a dynamic start-up environment with an expanding footprint in leading various digital transformation initiatives in the transportation and supply chain industry? Invicta Pte Ltd provides an agile environment where we work directly with multinational organizations on transforming their businesses through digitization and strategies designed specifically for the future of their respective industry domains. The selected individual will stand to gain frontline first-hand experience in various digital transformation projects in the supply chain, transportation and healthcare industry. The role of the business analyst requires the individual to be lead and design business process work, business analysis and play a pivotal role in transformation projects. This position is based in Singapore and could have some travel based in client requirements. The ideal candidate should be able to think out of the box and have a high sense of urgency and drive to turn fresh ideas into feasible, profitable business solutions for the organization. Key responsibilities  Design and document As-is processes through deep understanding of the client’s business processes. Suggest and ensure clear documentation of all client’s business processes. Perform in-depth gap analysis on existing business issues through the use of big data, business analytics, Kanban methods. Provide best in class consultation advice to clients to address critical business issues and process improvements Develop and use big data/business analytics/logistics exploratory solutions based on multi-layered analytics tools to identify trends that lead to cost reduction and revenue benefits. Work independently and comfortable to derive and articulate creative out of the box business solutions to key business problems Create solutions that transform raw data into meaningful and useful information to enable team to propose effective strategic, tactical and operational insights for effective decision-making. Execute, monitor and review output of company’s strategic plans. ","Requirements Minimum degree qualification from a recognized university. At least 2 to 5 years of relevant working experiences, preferably as a business analyst or a related business process related role in supply chain and/or logistics and/or healthcare industry Excellent written/verbal communication skills in English Highly competent in a business model analysis, strategic planning and project management (Kanban, Lean etc) Technical (technology) skills and other key competencies Worked with BPM and workflow automation tools and understanding of BPNL and process language Process re-engineering (actual analysis to implementation) experience Experience Working with data-driven analysis to design and implement processes AI and Machine Learning experience is a huge asset Metrics and KPI development and actual implementation Cross-industry and vertical experience Digital and omnichannel process experience MS Visio, Lucid Chart, Process and workflow automation tools, RPA solutions and tools Able to travel as per business requirement. Knowledge or exposure to start-up organizations or venture capital organizations would be an advantage. Adaptable and effective as a team player and as an individual contributor "
THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED,Manager IT Business Analyst, JOB-2019-0069381 ,Full Time,"$5,000to$6,500",Monthly,Manager,Insurance,"Roles & ResponsibilitiesJob Purpose You will facilitate the requirements and development of Adobe Experience Manager web solutions. This position is ideal for a collaborative and creative individual who facilitates the design of web solutions. The Business Analyst is an integral part of the IT team and acts as a bridge between the Digital Marketing Team and the IT Development team. The Job  Interact with end users and identify business requirements and business processes. Understand stakeholders' business needs and priorities; Relate to others concerns and objectives, & accommodate into own work priorities. Facilitate communications between the various stakeholders and collaborate with internal cross-functional teams. Translate and simplify requirements formally e.g. Business requirement documents, functional specifications and other technical writing as per project needs. Understand test cases; Create test steps and expected test results based on test cases; Execute test and document results, and assign severity levels to defects to ensure all the deliverables are as per Business needs. Handles developers’ queries, analyzing data and supporting Business user’s queries. Investigate and resolve application functionality related issues and provide support and troubleshooting for the application. Provide subject matter expertise/analysis relative to application delivery. ","Requirements Degree in Computer Science/IT/ IS or its equivalent. Alternatively, Higher Diploma in the same discipline with at least 5 years working experience in software development environment. Minimum 3 year experience as Business analysis role, ideally a programmer previously. Knowledge and experience on web and mobile application projects; Candidates with Content Management system primarily AEM will be preferred. Able to apply application SDLC, good change & problem management knowledge. Excellent interpersonal, communication and process skills, tenacious, but diplomatic. A good team player who is able to work in a fast paced multi-cultural environment. Effective understanding and hands-on experience of latest web best practices and ability to recognize how to best apply them to drive user to success. Creative and resourceful, pro-active and solution-oriented mindset. Analytical sense, with proven ability to run and analyze problems. Self-motivated, confident, energetic and positive. Confident and able to manage end users. Passionate about business processes. Ability to work hands-on with technology for feature analysis and product demonstration. Testing experience will be a big plus. "
DBS BANK LTD.,"Snr Assoc, Finance Business Analyst, Middle Office Technology, Technology and Operations", JOB-2019-0069481 ,Full Time,"$5,000to$9,000",Monthly,Senior Executive,Information Technology,"Roles & ResponsibilitiesBusiness Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.   Responsibilities     Support finance regulatory reporting projects & applications as business analyst Analyse the requirements, define technical specification, designing solution and perform technical / functional testing to ensure requirements are well met Translate technical issues, verify and explain technical/architectural complexities to project stakeholders Develop specifications, diagrams, and technical mapping documentations    Work closely with Scrum Master/Project Manager/Product Owner/business users/stakeholders on project schedule, issues and escalations Work closely with development team to transforms business requirements to quality product Guide / provide inputs to development & QA team for implementation and perform system testing.  ","Requirements A Bachelor’s degree in Computer Science (or equivalent experience) At least 3 years of relevant work experience in banking industry related to Finance Regulatory Reporting and Finance data warehouse. Understand AGILE methodology and have worked in AGILE development environment Solid banking functional knowledge, data analysis and SQL skills Familiar with all phases of the project lifecycle, from requirements gathering through design, development and deployment Able to develop positive stakeholder relationships, through effective engagement and communications Proactive and able to work under pressure, strong problem-solving skills and positive attitude Ability to work effectively as individual or with a team to understand and interpret requirements leading to successful technical implementation. Should be self-driven and able to work independently  Strong articulation, liaising and facilitation skills. Ability to get things done. "
VISA WORLDWIDE PTE. LIMITED,Associate Business Analyst, JOB-2019-0069452 ,"Permanent, Full Time","$48,000to$60,000",Annually,Fresh/entry level,Information Technology,"Roles & ResponsibilitiesCommon Purpose, Uncommon Opportunity. Everyone at Visa works with one goal in mind – making sure that Visa is the best way to pay and be paid, for everyone everywhere. This is our global vision and the common purpose that unites the entire Visa team. As a global payments technology company, tech is at the heart of what we do: Our VisaNet network processes over 13,000 transactions per second for people and businesses around the world, enabling them to use digital currency instead of cash and checks. We are also global advocates for financial inclusion, working with partners around the world to help those who lack access to financial services join the global economy. Visa’s sponsorships, including the Olympics and FIFA™ World Cup, celebrate teamwork, diversity, and excellence throughout the world. If you have a passion to make a difference in the lives of people around the world, Visa offers an uncommon opportunity to build a strong, thriving career. Visa is fueled by our team of talented employees who continuously raise the bar on delivering the convenience and security of digital currency to people all over the world. Join our team and find out how Visa is everywhere you want to be. Job Description Position Summary Visa Inc. is searching for an Associate Business Analyst within our Operational Excellence team. As a key member of the team, you will provide direct support to multiple function lanes in DSOE to onboard and ongoing success of the teams to support our services and clients. You will leverage your strong collaboration skills and deep understanding of working structures within DSOE to ensure new or existing services are onboard quickly and on time. Working collaboratively with the stakeholders, you will lead the initial implementation issues and seeing ongoing improvement/enhancement efforts. Responsibilities  Strong analytical skills Proficiency in Excel and ability to build Pivot Tables and Macros Comfortable with statistical analysis using Minitab Strong project, organizational, presentation and interpersonal skills Excellent verbal and written communication skills with the ability to communicate complex processes to a wide audience across various time zones. Demonstrated ability to meet deadlines and commitments in an environment which requires multi-tasking among concurrent tasks and projects. Work with process owners and stakeholders to re-engineer processes to be simple, nimble, repeatable, measurable, achievable and continuously improved Eliminate complexity in Technology's ability to deliver IT services, while meeting service level agreements. Identify areas of improvement within the Technology processes using metrics and Six Sigma, Kaizen or similar techniques and deliver improvements in process, tools and quality of adoption. Suggest comprehensive metrics that can be actionable and promote positive behavioral changes; Baseline, improve and re-measure success. Work with the Metrics team to deliver them and use for continuous improvement Manage relationships with other process management teams to provide a consistent delivery framework Work with the requirements, documentation and training teams so processes are implemented in the tools, documented and process users trained in their use Evangelize the virtues of IT process management and create a collaborative environment Work independently to research subject matter. Interact with IT development, operations, IT quality and product management groups to obtain and exchange information. Create and maintain project plans. Represent the team in planning and review meetings with IT project cross-functional stakeholders. Communicate status of project to team members, clients and departmental management Manage the projects, work with all stakeholders to ensure deadlines are strictly adhered to. Understand Business Requirements and be able to translate them into a Business Requirements Document ","RequirementsQualifications  Bachelor Degree required. Experience providing operational support Lean Green Belt Six Sigma certified is a bonus Ideal if you have direct experience in communicating to mass audience and management Strong cross functional, global collaboration skills with an ability to work across all levels Self-motivated, results oriented individual with the ability to handle numerous projects concurrently Comfortable operating in a fast paced and complex environment, with an ability to handle numerous projects concurrently. Excellent presence and experience in communicating and presenting to all levels. Ability to articulate complex technical terms or processes into business language Working knowledge of payments industry a plus but not required. "
HR-PRO RECRUITMENT SERVICES PTE. LTD.,Contract Business Analyst (Collateral Management), JOB-2019-0069495 ,Contract,"$8,000to$9,500",Monthly,Senior Executive,Banking and Finance,"Roles & Responsibilities Provide subject matter expertise in the collateral management business processes, systems and regulatory changes Be accountable for APAC Margin Services requirements in end-to-end delivery of projects Be familiar with project management disciplines and provide the processes, structures, and tools for management of individual projects Provide a governance structure. The role ensures accountability and enables the predictability of the outcomes of each transformation initiative Build and foster effective partnerships and collaborative relationships with key stakeholders in the organization Ensure effective stakeholder engagement and communications. Ensure timelines are adhered to for initiatives by keeping stakeholders aware of any red flags ","Requirements Min 3 years of Business Analyst with experience in Financial Services Understanding of Collateral Management function, business processes and financial products Knowledge of project lifecycle with sound experience in writing BRDs and FRDs. Should be able to oversee execution of UAT test cases and Regression testing Ability to quickly understand complex processes and to pass on this knowledge Proficient with MS Office applications – MS Word, Excel, PowerPoint Control mind-set, with a desire to see processes automated and simplified Strong organizational and analytical skills with attention to details and accuracy     Problem solving and root cause identification skills Good interpersonal skills – Confident and strong written and verbal communication skills with good work attitude Effective time management - Able to work under pressure and meet project deadlines Must be a team player and able to work collaboratively with and through others, but also able to work independently Driven, proactive, hands on and adaptable "
INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD,Business Analyst - Factory Integration, JOB-2019-0069111 ,Permanent,"$3,000to$45,000",Monthly,"Professional, Junior Executive",Information Technology,"Roles & Responsibilities  In your new role you will:  Be performing Data Mining from Factory Integration (FI) key applications (Camstar etc) for potential correlation analysis to optimize backend processes Dedicated to help on harvesting benefit KPI monitor / trigger any process change / impact to segment performance KPI To support data analytic and conduct superuser training on how to do data mining and data analytics To analyze the historical data from database by performing data mining technique such as EDA, data visualization, abnormal detection analysis Work closely with business key users to optimize and implement the suggested improvement project To monitor implemented improvement and share result with Biz User To proliferate success implemented task to the rest of the BEAR Roll-Out Site ","RequirementsYou are best equipped for this task if you have:  Bachelors / Masters Degree in Business / Data Analytics with more than 2 years of data mining experience Hands on experience using Oracle SQL is a must Good knowledge in Backend Manufacturing processes and exposure in analysing backend related system data Knowledge in Predictive Modelling & Machine Learning would be advantages Know How in Tableau, JMP, CEDA and other statistical tool is preferable Strong communication skills in English "
HEWLETT-PACKARD ASIA PACIFIC PTE. LTD.,Business Planning Analyst, JOB-2019-0068873 ,"Permanent, Full Time","$2,300to$4,600",Monthly,Fresh/entry level,"General Management, Others","Roles & Responsibilities Define, manage, and evaluate business plans to ensure they are operationally executable against defined strategic objectives Lead and partner with cross-functional teams to develop short-term business plans and support data-driven models. Prepare comprehensive implementation tactics, including execution plans, resource allocation plans, follow-up guidelines, assessment, and process accountabilities. Ensure that business activities are aligned with stated plans among different stakeholders. Set business metrics, evaluate actual performance, and make recommendations to business leaders on performance target achievement. Develop data-driven analyses to optimize resources and ensure that business plans can be translated into financial value. Support the development of statistical and financial models for forecasting and reporting. Measure business performance and compares actual data to forecasted values. Execute market research projects and gather intelligence on current industry, technology, and consumer trends. Work with cross-functional teams to support the data collection process. ","Requirements Bachelor's Degree in any related discipline. Have minimum 2 years experience in strategy, planning, operations, finance, or related functional area - not a strict requirement Proficiency with the use of Microsoft Office applications, especially MS Excel and MS Powerpoint. Basic knowledge of research methodology. Demonstrated analytical thinking, technical analysis, and data manipulation skills. Developing business acumen and technical knowledge within area of responsibility. Basic understanding of project management methodology. "
